"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Southern","SM10","1992-02-21","1","Middle Water","0.1","0.162","0.5","82","6.7","160","230","0.07","0.026","0.01","7.9","1.3","31.8","1","0.9","12","15.4","0.26","0.31","0.41","0.14","11","0.003","1.5"
"Southern","SM10","1992-02-21","1","Bottom Water","0.3","0.147","0.5","81","6.7","220","250","0.074","0.04","0.015","7.9","1","31.7","1","0.91","15","15.4","0.26","0.35","0.46","0.17","12","0.003","1.5"
"Southern","SM10","1992-04-08","1","Surface Water","0.9","0.16","0.3","89","6.8","70","90","0.145","0.015","0.016","8","1.2","28.4","1.4","1.58","4.5","18.9","0.32","0.6","0.76","0.09","4.2","0.004","0.5"
"Southern","SM10","1992-04-08","1","Middle Water","0.8","0.165","0.3","89","6.9","40","60","0.147","0.015","0.022","8","1.4","28.3","1.4","1.65","5","18.9","0.33","0.62","0.78","0.09","4.9","0.004","1"
"Southern","SM10","1992-04-08","1","Bottom Water","0.7","0.158","0.8","87","6.7","70","120","0.138","0.017","0.021","8","0.3","28.8","1.4","1.57","4.5","18.8","0.31","0.62","0.78","0.1","5.6","0.004","0.5"
"Southern","SM10","1992-08-28","1","Surface Water","1.4","0.097","1.1","83","5.4","7","10","0.076","0.017","0.047","8.1","2.7","30.6","1","1.31","9.5","29.2","0.19","0.39","0.48","0.08","5.1","0.006","3"
"Southern","SM10","1992-10-29","1","Surface Water","1.2","0.034","3.6","90","6.2","12","20","0.212","0.08","0.046","7.9","<0.2","33.1","1.4","1.17","6.5","25","0.33","0.62","0.91","0.08","5.3","0.001","3"
"Southern","SM10","1992-10-29","1","Middle Water","1.6","0.038","0.4","86","6","21","27","0.219","0.081","0.048","7.9","1.7","33.1","1.4","1.13","8.5","24.6","0.34","0.59","0.89","0.12","6.1","0.001","2.5"
"Southern","SM10","1992-10-29","1","Bottom Water","1","0.033","0.4","84","5.9","170","210","0.212","0.081","0.046","7.9","2.2","33.1","1.4","1.14","9","24.3","0.33","0.58","0.87","0.11","6","0.001","2.5"
"Southern","SM10","1992-12-10","1","Surface Water","1.4","0.292","0.5","110","8.8","14","20","0.123","0.053","0.046","8.2","1.5","32.7","1.1","1.15","5.5","21.5","0.47","0.72","0.9","0.06","6.1","0.014","1.5"
